6;Marie;Curie, née Sklodowska;11/07/1867;07/04/1934;Russian Empire (now Poland);PL;Warsaw;female;1903;physics;4;in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
194;Irne;Joliot-Curie;09/12/1897;3/17/1956;France;FR;Paris;female;1935;chemistry;2;in recognition of their synthesis of new radioactive elements
892;Alice;Munro;07/10/1931; ;Canada;CA;Wingham;female;2013;literature;1;master of the contemporary short story
601;Sigrid;Undset;05/20/1882;06/10/1949;Denmark;DK;Kalundborg;female;1928;literature;1;principally for her powerful descriptions of Northern life during the Middle Ages
817;Doris;Lessing;10/22/1919;11/17/2013;Persia (now Iran);IR;Kermanshah;female;2007;literature;1;that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny
670;Toni;Morrison;2/18/1931; ;USA;US;Lorain, OH;female;1993;literature;1;who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality
668;Nadine;Gordimer;11/19/1923;7/13/2014;South Africa;ZA;Springs;female;1991;literature;1;who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity
844;Herta;Môller;8/17/1953; ;Romania;RO;Nitzkydorf, Banat;female;2009;literature;1;who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed
535;Betty;Williams;5/22/1943; ;Northern Ireland;GB;Belfast;female;1976;peace;2;
536;Mairead;Corrigan;1/27/1944; ;Northern Ireland;GB;Belfast;female;1976;peace;2;
543;Alva;Myrdal;1/31/1902;02/01/1986;Sweden;SE;Uppsala;female;1982;peace;2;
540;Mother Teresa; ;8/26/1910;09/05/1997;Ottoman Empire (now Republic of Macedonia);MK;Uskup (now Skopje);female;1979;peace;1;
468;Baroness Bertha Sophie Felicita;von Suttner, née Countess Kinsky von Chinic und Tettau;06/09/1843;6/21/2014;Austrian Empire (now Czech Republic);CZ;Prague;female;1905;peace;1;
496;Jane;Addams;09/06/1860;5/21/1935;USA;US;Cedarville, IL;female;1931;peace;2;
506;Emily Greene;Balch;01/08/1867;01/09/1961;USA;US;Jamaica Plain, MA (now Boston);female;1946;peace;2;
572;BjËrnstjerne Martinus;BjËrnson;12/08/1832;4/26/2010;Norway;NO;Kvikne;male;1903;literature;1;as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit
580;Paul Johann Ludwig;Heyse;03/15/1830;04/02/2014;Prussia (now Germany);DE;Berlin;male;1910;literature;1;as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories
584;Romain;Rolland;01/29/1866;12/30/1944;France;FR;Clamecy;male;1915;literature;1;as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings
832;Jean-Marie Gustave;Le Cl_zio;4/13/1940; ;France;FR;Nice;male;2008;literature;1;author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization
575;Henryk;Sienkiewicz;05/05/1846;11/15/2016;Poland;PL;Wola Okrzejska;male;1905;literature;1;because of his outstanding merits as an epic writer
583;Rabindranath;Tagore;05/07/1861;08/07/1941;India;IN;Calcutta;male;1913;literature;1;because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West
868;Tomas;Transtr_mer;4/15/1931;3/26/2015;Sweden;SE;Stockholm;male;2011;literature;1;because, through his condensed, translucent images, he gives us fresh access to reality
653;Vicente;Aleixandre;04/26/1898;12/14/1984;Spain;ES;Sevilla;male;1977;literature;1;for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars
649;Eyvind;Johnson;7/29/1900;8/25/1976;Sweden;SE;Svartbj_rnsbyn;male;1974;literature;2;for a narrative art, far-seeing in lands and ages, in the service of freedom
717;Robert C.;Merton;7/31/1944; ;USA;US;New York, NY;male;1997;economics;2;for a new method to determine the value of derivatives
718;Myron S.;Scholes;07/01/1941; ;Canada;CA;Timmins, ON;male;1997;economics;2;for a new method to determine the value of derivatives
669;Derek;Walcott;1/23/1930; ;Saint Lucia;LC;Castries;male;1992;literature;1;for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment
645;Pablo;Neruda;07/12/1904;9/23/1973;Chile;CL;Parral;male;1971;literature;1;for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams
666;Camilo Jos_;Cela;05/11/1916;1/17/2002;Spain;ES;Iria Flavia;male;1989;literature;1;for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability
734;Gao;Xingjian;01/04/1940; ;China;CN;Ganzhou;male;2000;literature;1;"for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama"
664;Joseph;Brodsky;5/24/1940;1/28/1996;USSR (now Russia);RU;Leningrad (now Saint Petersburg);male;1987;literature;1;for an all-embracing authorship, imbued with clarity of thought and poetic intensity
648;Patrick;White;5/28/1912;9/30/1990;United Kingdom;GB;London;male;1973;literature;1;for an epic and psychological narrative art which has introduced a new continent into literature
727;Herbert;Kroemer;8/25/1928; ;Germany;DE;Weimar;male;2000;physics;4;for developing semiconductor heterostructures used in high-speed- and opto-electronics
726;Zhores I.;Alferov;3/15/1930; ;USSR (now Belarus);BY;Vitebsk, Belorussia;male;2000;physics;4;for developing semiconductor heterostructures used in high-speed- and opto-electronics
154;William D.;Phillips;11/05/1948; ;USA;US;Wilkes-Barre, PA;male;1997;physics;3;for development of methods to cool and trap atoms with laser light
153;Claude;Cohen-Tannoudji;04/01/1933; ;French Algeria (now Algeria);DZ;Constantine;male;1997;physics;3;for development of methods to cool and trap atoms with laser light
152;Steven;Chu;2/28/1948; ;USA;US;St. Louis, MO;male;1997;physics;3;for development of methods to cool and trap atoms with laser light
141;Pierre-Gilles;de Gennes;10/24/1932;5/18/2007;France;FR;Paris;male;1991;physics;1;for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers
370;Peter Brian;Medawar;2/28/1915;10/02/1987;Brazil;BR;Rio de Janeiro;male;1960;medicine;2;for discovery of acquired immunological tolerance
369;Sir Frank Macfarlane;Burnet;09/03/1899;8/31/1985;Australia;AU;Traralgon;male;1960;medicine;2;for discovery of acquired immunological tolerance
159;Martinus J.G.;Veltman;6/27/1931; ;the Netherlands;NL;Waalwijk;male;1999;physics;2;for elucidating the quantum structure of electroweak interactions in physics
158;Gerardus;'t Hooft;07/05/1946; ;the Netherlands;NL;Den Helder;male;1999;physics;2;for elucidating the quantum structure of electroweak interactions in physics
92;Louis Eugène Félix;néel;11/22/1904;11/17/2000;France;FR;Lyon;male;1970;physics;2;for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics
91;Hannes Olof Gosta;Alfvén;5/30/1908;04/02/1995;Sweden;SE;Norrk_ping;male;1970;physics;2;for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics
81;Charles Hard;Townes;7/28/1915;1/27/2015;USA;US;Greenville, SC;male;1964;physics;2;for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle
83;Aleksandr Mikhailovich;Prokhorov;07/11/1916;01/08/2002;Australia;AU;Atherton;male;1964;physics;4;for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle
82;Nicolay Gennadiyevich;Basov;12/14/1922;07/01/2001;USSR (now Russia);RU;Usman;male;1964;physics;4;for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle
877;David J.;Wineland;2/24/1944; ;USA;US;Milwaukee, WI;male;2012;physics;2;for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
876;Serge;Haroche;09/11/1944; ;Morocco;MA;Casablanca;male;2012;physics;2;for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
838;Charles Kuen;Kao;11/04/1933; ;China;CN;Shanghai;male;2009;physics;2;for groundbreaking achievements concerning the transmission of light in fibers for optical communication
849;Andre;Geim;10/21/1958; ;Russia;RU;Sochi;male;2010;physics;2;for groundbreaking experiments regarding the two-dimensional material graphene
850;Konstantin;Novoselov;8/23/1974; ;Russia;RU;Nizhny Tagil;male;2010;physics;2;for groundbreaking experiments regarding the two-dimensional material graphene
677;Ragnar;Frisch;03/03/1895;1/31/1973;Norway;NO;Oslo;male;1969;economics;2;for having developed and applied dynamic models for the analysis of economic processes
678;Jan;Tinbergen;04/12/1903;06/09/1994;the Netherlands;NL;the Hague;male;1969;economics;2;for having developed and applied dynamic models for the analysis of economic processes
714;Robert E.;Lucas Jr.;9/15/1937; ;USA;US;Yakima, WA;male;1995;economics;1;for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy
800;Thomas C.;Schelling;4/14/1921; ;USA;US;Oakland, CA;male;2005;economics;2;for having enhanced our understanding of conflict and cooperation through game-theory analysis
799;Robert J.;Aumann;06/08/1930; ;Germany;DE;Frankfurt-on-the-Main;male;2005;economics;2;for having enhanced our understanding of conflict and cooperation through game-theory analysis
760;Vernon L.;Smith;01/01/1927; ;USA;US;Wichita, KS;male;2002;economics;2;for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms
708;Gary S.;Becker;12/02/1930;05/03/2014;USA;US;Pottsville, PA;male;1992;economics;1;for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour
697;Gerard;Debreu;07/04/1921;12/31/2004;France;FR;Calais;male;1983;economics;1;for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium
759;Daniel;Kahneman;03/05/1934; ;British Mandate of Palestine (now Israel);IL;Tel Aviv;male;2002;economics;2;for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty
822;Roger B.;Myerson;3/29/1951; ;USA;US;Boston, MA;male;2007;economics;3;for having laid the foundations of mechanism design theory
820;Leonid;Hurwicz;8/21/1917;6/24/2008;Russia;RU;Moscow;male;2007;economics;3;for having laid the foundations of mechanism design theory
821;Eric S.;Maskin;12/12/1950; ;USA;US;New York, NY;male;2007;economics;3;for having laid the foundations of mechanism design theory
698;Richard;Stone;8/30/1913;12/06/1991;United Kingdom;GB;London;male;1984;economics;1;for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis
709;Robert W.;Fogel;07/01/1927;06/11/2013;USA;US;New York, NY;male;1993;economics;2;for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
710;Douglass C.;North;11/05/1920;11/23/2015;USA;US;Cambridge, MA;male;1993;economics;2;for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
747;Sir Vidiadhar Surajprasad;Naipaul;8/17/1932; ;Trinidad;TT; ;male;2001;literature;1;for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories
688;Milton;Friedman;7/31/1912;11/16/2006;USA;US;Brooklyn, NY;male;1976;economics;1;for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy
593;William Butler;Yeats;06/13/1865;1/28/1939;Ireland;IE;Dublin;male;1923;literature;1;for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation
926;Angus;Deaton;10/19/1945; ;United Kingdom;GB;Edinburgh;male;2015;economics;1;for his analysis of consumption, poverty, and welfare
847;Oliver E.;Williamson;9/27/1932; ;USA;US;Superior, WI;male;2009;economics;2;for his analysis of economic governance, especially the boundaries of the firm
695;James;Tobin;03/05/1918;03/11/2002;USA;US;Champaign, IL;male;1981;economics;1;for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices
807;Edmund S.;Phelps;7/26/1933; ;USA;US;Evanston, IL;male;2006;economics;1;for his analysis of intertemporal tradeoffs in macroeconomic policy
915;Jean;Tirole;08/09/1953; ;France;FR;Troyes;male;2014;economics;1;for his analysis of market power and regulation
720;Robert A.;Mundell;10/24/1932; ;Canada;CA;Kingston, ON;male;1999;economics;1;for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas
834;Paul;Krugman;2/28/1953; ;USA;US;New York, NY;male;2008;economics;1;for his analysis of trade patterns and location of economic activity
587;Henrik;Pontoppidan;07/24/1857;8/21/1943;Denmark;DK;Fredericia;male;1917;literature;2;for his authentic descriptions of present-day life in Denmark
110;Pyotr Leonidovich;Kapitsa;07/09/1894;04/08/1984;Russian Empire (now Russia);RU;Kronshtadt;male;1978;physics;2;for his basic inventions and discoveries in the area of low-temperature physics
166;Eduard;Buchner;05/20/1860;8/13/2017;Bavaria (now Germany);DE;Munich;male;1907;chemistry;1;for his biochemical researches and his discovery of cell-free fermentation
607;Luigi;Pirandello;06/28/1867;12/10/1936;Italy;IT;Agrigento, Sicily;male;1934;literature;1;for his bold and ingenious revival of dramatic and scenic art
854;Mario;Vargas Llosa;3/28/1936; ;Peru;PE;Arequipa;male;2010;literature;1;for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat
703;Trygve;Haavelmo;12/13/1911;7/26/1999;Norway;NO;Skedsmo;male;1989;economics;1;for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures
618;Andr_ Paul Guillaume;Gide;11/22/1869;2/19/1951;France;FR;Paris;male;1947;literature;1;for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight
280;George A.;Olah;5/22/1927; ;Hungary;HU;Budapest;male;1994;chemistry;1;for his contribution to carbocation chemistry
120;Kai M.;Siegbahn;4/19/1918;7/20/2007;Sweden;SE;Lund;male;1981;physics;2;for his contribution to the development of high-resolution electron spectroscopy
48;Otto;Stern;02/17/1888;8/17/1969;Germany (now Poland);PL;Sorau (now Zory);male;1943;physics;1;for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton
791;Roy J.;Glauber;09/01/1925; ;USA;US;New York, NY;male;2005;physics;2;for his contribution to the quantum theory of optical coherence
251;Peter D.;Mitchell;9/29/1920;04/10/1992;United Kingdom;GB;Mitcham;male;1978;chemistry;1;for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory
90;Murray;Gell-Mann;9/15/1929; ;USA;US;New York, NY;male;1969;physics;1;for his contributions and discoveries concerning the classification of elementary particles and their interactions
209;William Francis;Giauque;05/12/1895;3/28/1982;Canada;CA;Niagara Falls;male;1949;chemistry;1;for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures
250;Ilya;Prigogine;1/25/1917;5/28/2003;Russia;RU;Moscow;male;1977;chemistry;1;for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures
195;Petrus (Peter) Josephus Wilhelmus;Debye;03/24/1884;11/02/1966;the Netherlands;NL;Maastricht;male;1936;chemistry;1;for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases
179;Frederick;Soddy;09/02/1877;9/22/1956;United Kingdom;GB;Eastbourne;male;1921;chemistry;1;for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes
276;Richard R.;Ernst;8/14/1933; ;Switzerland;CH;Winterthur;male;1991;chemistry;1;for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy
240;Gerhard;Herzberg;12/25/1904;03/03/1999;Germany;DE;Hamburg;male;1971;chemistry;1;for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals
701;Robert M.;Solow;8/23/1924; ;USA;US;Brooklyn, NY;male;1987;economics;1;for his contributions to the theory of economic growth
277;Rudolph A.;Marcus;7/21/1923; ;Canada;CA;Montreal;male;1992;chemistry;1;for his contributions to the theory of electron transfer reactions in chemical systems
88;Hans Albrecht;Bethe;07/02/1906;03/06/2005;Germany (now France);FR;Strassburg (now Strasbourg);male;1967;physics;1;for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars
78;Eugene Paul;Wigner;11/17/1902;01/01/1995;Austria-Hungary (now Hungary);HU;Budapest;male;1963;physics;2;for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles
719;Amartya;Sen;11/03/1933; ;India;IN;Santiniketan;male;1998;economics;1;for his contributions to welfare economics
762;Jimmy;Carter;10/01/1924; ;USA;US;Plains, GA;male;2002;peace;1;for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development
89;Luis Walter;Alvarez;6/13/1911;09/01/1988;USA;US;San Francisco, CA;male;1968;physics;1;for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis
613;Frans Eemil;Sillanp__;09/16/1888;06/03/1964;Russian Empire (now Finland);FI;H_meenkyr_;male;1939;literature;1;for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature
182;Richard Adolf;Zsigmondy;04/01/1865;9/24/2029;Austrian Empire (now Austria);AT;Vienna;male;1925;chemistry;1;for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry
60;Frits;Zernike;07/16/1888;03/10/1966;the Netherlands;NL;Amsterdam;male;1953;physics;1;for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope
46;Enrico;Fermi;9/29/1901;11/28/1954;Italy;IT;Rome;male;1938;physics;1;for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons
291;John A.;Pople;10/31/1925;3/15/2004;United Kingdom;GB;Burnham-on-Sea;male;1998;chemistry;2;for his development of computational methods in quantum chemistry
